Year,Series,Units,Geography,Population centres,GeoCode,Value
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Rural areas,48,40.74
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Rural areas,59,65.8
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,Rural areas,60,24.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,Rural areas,61,17.7
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nunavut,Rural areas,62,
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Total population centre,10,146.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Total population centre,11,164.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Total population centre,12,157.8
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Total population centre,13,185.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Total population centre,24,173.1
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Total population centre,35,140.5
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Total population centre,46,126.6
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Total population centre,47,137.3
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Total population centre,48,132.2
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Total population centre,59,162.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,Total population centre,60,111.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,Total population centre,61,101.7
2020,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nunavut,Total population centre,62,0.0
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Newfoundland and Labrador,Total population centre,10,152.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Prince Edward Island,Total population centre,11,179.1
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nova Scotia,Total population centre,12,164.9
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),New Brunswick,Total population centre,13,178.8
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Quebec,Total population centre,24,176.6
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Ontario,Total population centre,35,156.3
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Manitoba,Total population centre,46,136.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Saskatchewan,Total population centre,47,147.1
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Alberta,Total population centre,48,139.44
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),British Columbia,Total population centre,59,165.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Yukon,Total population centre,60,123.2
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Northwest Territories,Total population centre,61,115.6
2021,Proportion of households that have access to broadband Internet service at speeds of 50/10 Mbps,Percentage (%),Nunavut,Total population centre,62,0.0
2014,Number of fixed Internet broadband subscriptions,Number,,,,9917750.0
2015,Number of fixed Internet broadband subscriptions,Number,,,,10068750.0
2016,Number of fixed Internet broadband subscriptions,Number,,,,10322500.0
2017,Number of fixed Internet broadband subscriptions,Number,,,,10651500.0
2018,Number of fixed Internet broadband subscriptions,Number,,,,10947250.0
2019,Number of fixed Internet broadband subscriptions,Number,,,,11183750.0
2020,Number of fixed Internet broadband subscriptions,Number,,,,11519500.0
2021,Number of fixed Internet broadband subscriptions,Number,,,,11896000.0
2022,Number of fixed Internet broadband subscriptions,Number,,,,12245000.0
