Year,Age group,Sex,Value
2017,90 years and over,Both sexes,9.0
2017,90 years and over,Males,18.1
2017,90 years and over,Females,5.2
2017,Not stated,Both sexes,0.0
2017,Not stated,Males,0.0
2017,Not stated,Females,0.0
2018,All ages,Males,8.1
2018,All ages,Females,3.3
2018,Under 1 year,Both sexes,0.3
2018,Under 1 year,Males,0.0
2018,Under 1 year,Females,0.5
2018,1 to 4 years,Both sexes,1.1
2018,1 to 4 years,Males,1.2
2018,1 to 4 years,Females,1.0
2018,5 to 9 years,Both sexes,0.9
2018,5 to 9 years,Males,0.9
2018,5 to 9 years,Females,1.0
2018,10 to 14 years,Both sexes,1.1
2018,10 to 14 years,Males,1.3
2018,10 to 14 years,Females,1.0
2018,15 to 19 years,Both sexes,6.2
2018,15 to 19 years,Males,7.2
2018,15 to 19 years,Females,5.2
2018,20 to 24 years,Both sexes,8.2
2018,20 to 24 years,Males,11.4
2018,20 to 24 years,Females,4.8
2018,25 to 29 years,Both sexes,7.1
2018,25 to 29 years,Males,10.5
2018,25 to 29 years,Females,3.6
2018,30 to 34 years,Both sexes,6.0
2018,30 to 34 years,Males,9.3
2018,30 to 34 years,Females,2.6
2018,35 to 39 years,Both sexes,5.4
2018,35 to 39 years,Males,8.2
2018,35 to 39 years,Females,2.6
2018,40 to 44 years,Both sexes,5.2
2018,40 to 44 years,Males,7.7
2018,40 to 44 years,Females,2.8
2018,45 to 49 years,Both sexes,5.1
2018,45 to 49 years,Males,7.8
2018,45 to 49 years,Females,2.5
2018,50 to 54 years,Both sexes,6.0
2018,50 to 54 years,Males,8.8
2018,50 to 54 years,Females,3.3
2018,55 to 59 years,Both sexes,5.0
2018,55 to 59 years,Males,7.5
2018,55 to 59 years,Females,2.6
2018,60 to 64 years,Both sexes,6.9
2018,60 to 64 years,Males,10.5
2018,60 to 64 years,Females,3.4
2018,65 to 69 years,Both sexes,5.5
2018,65 to 69 years,Males,7.1
2018,65 to 69 years,Females,3.9
2018,70 to 74 years,Both sexes,6.5
2018,70 to 74 years,Males,8.7
2018,70 to 74 years,Females,4.4
2018,75 to 79 years,Both sexes,9.9
2018,75 to 79 years,Males,14.8
2018,75 to 79 years,Females,5.7
2018,80 to 84 years,Both sexes,12.0
2018,80 to 84 years,Males,17.9
2018,80 to 84 years,Females,7.5
2018,85 to 89 years,Both sexes,14.6
2018,85 to 89 years,Males,22.3
2018,85 to 89 years,Females,9.5
2018,90 years and over,Both sexes,12.6
2018,90 years and over,Males,26.0
2018,90 years and over,Females,6.9
2018,Not stated,Both sexes,0.0
2018,Not stated,Males,0.0
2018,Not stated,Females,0.0
2019,All ages,Males,7.1
2019,All ages,Females,3.2
2019,Under 1 year,Both sexes,0.5
2019,Under 1 year,Males,0.0
2019,Under 1 year,Females,1.1
2019,1 to 4 years,Both sexes,1.4
2019,1 to 4 years,Males,1.5
2019,1 to 4 years,Females,1.3
2019,5 to 9 years,Both sexes,0.5
2019,5 to 9 years,Males,0.5
2019,5 to 9 years,Females,0.5
2019,10 to 14 years,Both sexes,0.8
2019,10 to 14 years,Males,1.1
2019,10 to 14 years,Females,0.5
2019,15 to 19 years,Both sexes,5.9
2019,15 to 19 years,Males,7.6
2019,15 to 19 years,Females,4.2
2019,20 to 24 years,Both sexes,7.3
2019,20 to 24 years,Males,10.4
2019,20 to 24 years,Females,3.9
2019,25 to 29 years,Both sexes,5.0
2019,25 to 29 years,Males,6.9
2019,25 to 29 years,Females,3.0
2019,30 to 34 years,Both sexes,5.3
2019,30 to 34 years,Males,7.8
2019,30 to 34 years,Females,2.8
2019,35 to 39 years,Both sexes,4.2
2019,35 to 39 years,Males,6.0
2019,35 to 39 years,Females,2.3
2019,40 to 44 years,Both sexes,4.5
2019,40 to 44 years,Males,7.1
