Year,Proficiency level,Skill,Geography,Gender,Age group,GeoCode,Value
2012,3 or above,Numeracy,Prince Edward Island,Women+,Total,11,42.6
2012,2 or below,Literacy,Prince Edward Island,Women+,16 to 24 years,11,44.5
2012,3 or above,Literacy,Prince Edward Island,Women+,16 to 24 years,11,55.5
2012,2 or below,Numeracy,Prince Edward Island,Women+,16 to 24 years,11,56.5
2012,3 or above,Numeracy,Prince Edward Island,Women+,16 to 24 years,11,43.5
2012,2 or below,Literacy,Prince Edward Island,Women+,25 to 34 years,11,32.1
2012,3 or above,Literacy,Prince Edward Island,Women+,25 to 34 years,11,67.9
2012,2 or below,Numeracy,Prince Edward Island,Women+,25 to 34 years,11,50.5
2012,3 or above,Numeracy,Prince Edward Island,Women+,25 to 34 years,11,49.5
2012,2 or below,Literacy,Prince Edward Island,Women+,35 to 44 years,11,34.4
2012,3 or above,Literacy,Prince Edward Island,Women+,35 to 44 years,11,65.6
2012,2 or below,Numeracy,Prince Edward Island,Women+,35 to 44 years,11,51.7
2012,3 or above,Numeracy,Prince Edward Island,Women+,35 to 44 years,11,48.3
2012,2 or below,Literacy,Prince Edward Island,Women+,45 to 54 years,11,43.7
2012,3 or above,Literacy,Prince Edward Island,Women+,45 to 54 years,11,56.3
2012,2 or below,Numeracy,Prince Edward Island,Women+,45 to 54 years,11,60.3
2012,3 or above,Numeracy,Prince Edward Island,Women+,45 to 54 years,11,39.7
2012,2 or below,Literacy,Prince Edward Island,Women+,55 to 65 years,11,56.0
2012,3 or above,Literacy,Prince Edward Island,Women+,55 to 65 years,11,44.0
2012,2 or below,Numeracy,Prince Edward Island,Women+,55 to 65 years,11,64.4
2012,3 or above,Numeracy,Prince Edward Island,Women+,55 to 65 years,11,35.6
2012,2 or below,Literacy,Nova Scotia,Total,Total,12,50.3
2012,3 or above,Literacy,Nova Scotia,Total,Total,12,49.7
2012,2 or below,Numeracy,Nova Scotia,Total,Total,12,58.2
2012,3 or above,Numeracy,Nova Scotia,Total,Total,12,41.8
2012,2 or below,Literacy,Nova Scotia,Total,16 to 24 years,12,54.4
2012,3 or above,Literacy,Nova Scotia,Total,16 to 24 years,12,45.6
2012,2 or below,Numeracy,Nova Scotia,Total,16 to 24 years,12,61.3
2012,3 or above,Numeracy,Nova Scotia,Total,16 to 24 years,12,38.7
2012,2 or below,Literacy,Nova Scotia,Total,25 to 34 years,12,37.7
2012,3 or above,Literacy,Nova Scotia,Total,25 to 34 years,12,62.3
2012,2 or below,Numeracy,Nova Scotia,Total,25 to 34 years,12,47.3
2012,3 or above,Numeracy,Nova Scotia,Total,25 to 34 years,12,52.7
2012,2 or below,Literacy,Nova Scotia,Total,35 to 44 years,12,41.4
2012,3 or above,Literacy,Nova Scotia,Total,35 to 44 years,12,58.6
2012,2 or below,Numeracy,Nova Scotia,Total,35 to 44 years,12,49.8
2012,3 or above,Numeracy,Nova Scotia,Total,35 to 44 years,12,50.2
2012,2 or below,Literacy,Nova Scotia,Total,45 to 54 years,12,52.5
2012,3 or above,Literacy,Nova Scotia,Total,45 to 54 years,12,47.5
2012,2 or below,Numeracy,Nova Scotia,Total,45 to 54 years,12,61.1
2012,3 or above,Numeracy,Nova Scotia,Total,45 to 54 years,12,38.9
2012,2 or below,Literacy,Nova Scotia,Total,55 to 65 years,12,61.2
2012,3 or above,Literacy,Nova Scotia,Total,55 to 65 years,12,38.8
2012,2 or below,Numeracy,Nova Scotia,Total,55 to 65 years,12,67.6
2012,3 or above,Numeracy,Nova Scotia,Total,55 to 65 years,12,32.4
2012,2 or below,Literacy,Nova Scotia,Men+,Total,12,49.3
2012,3 or above,Literacy,Nova Scotia,Men+,Total,12,50.7
2012,2 or below,Numeracy,Nova Scotia,Men+,Total,12,52.0
2012,3 or above,Numeracy,Nova Scotia,Men+,Total,12,48.0
2012,2 or below,Literacy,Nova Scotia,Men+,16 to 24 years,12,51.2
2012,3 or above,Literacy,Nova Scotia,Men+,16 to 24 years,12,48.8
