Year,Activity related to digital skills,Age group,Highest level of education,Value
2018,Used your smartphone as a GPS device for directions,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",80.4
2018,Used your smartphone as a GPS device for directions,Internet users aged 15 to 24 years,High school or less,78.7
2018,Used your smartphone as a GPS device for directions,Internet users aged 15 to 24 years,"College, trade school or some university",81.9
2018,Used your smartphone as a GPS device for directions,Internet users aged 15 to 24 years,Bachelor's degree or higher,86.0
2018,Used your smartphone as a GPS device for directions,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",84.0
2018,Used your smartphone as a GPS device for directions,Internet users aged 25 to 44 years,High school or less,76.8
2018,Used your smartphone as a GPS device for directions,Internet users aged 25 to 44 years,"College, trade school or some university",82.5
2018,Used your smartphone as a GPS device for directions,Internet users aged 25 to 44 years,Bachelor's degree or higher,88.5
2018,Used your smartphone as a GPS device for directions,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",66.0
2018,Used your smartphone as a GPS device for directions,Internet users aged 45 to 64 years,High school or less,52.5
2018,Used your smartphone as a GPS device for directions,Internet users aged 45 to 64 years,"College, trade school or some university",67.5
2018,Used your smartphone as a GPS device for directions,Internet users aged 45 to 64 years,Bachelor's degree or higher,74.8
2018,Used your smartphone as a GPS device for directions,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",33.8
2018,Used your smartphone as a GPS device for directions,Internet users aged 65 years and over,High school or less,24.4
2018,Used your smartphone as a GPS device for directions,Internet users aged 65 years and over,"College, trade school or some university",35.2
2018,Used your smartphone as a GPS device for directions,Internet users aged 65 years and over,Bachelor's degree or higher,42.8
2018,Connected a new device via Bluetooth,"Total, Internet users aged 15 years and over","Total, highest certificate, diploma or degree completed",58.2
2018,Connected a new device via Bluetooth,"Total, Internet users aged 15 years and over",High school or less,52.8
2018,Connected a new device via Bluetooth,"Total, Internet users aged 15 years and over","College, trade school or some university",56.2
2018,Connected a new device via Bluetooth,"Total, Internet users aged 15 years and over",Bachelor's degree or higher,64.9
2018,Connected a new device via Bluetooth,Internet users aged 15 to 24 years,"Total, highest certificate, diploma or degree completed",75.4
2018,Connected a new device via Bluetooth,Internet users aged 15 to 24 years,High school or less,75.7
2018,Connected a new device via Bluetooth,Internet users aged 15 to 24 years,"College, trade school or some university",69.0
2018,Connected a new device via Bluetooth,Internet users aged 15 to 24 years,Bachelor's degree or higher,81.1
2018,Connected a new device via Bluetooth,Internet users aged 25 to 44 years,"Total, highest certificate, diploma or degree completed",71.2
2018,Connected a new device via Bluetooth,Internet users aged 25 to 44 years,High school or less,62.9
2018,Connected a new device via Bluetooth,Internet users aged 25 to 44 years,"College, trade school or some university",69.6
2018,Connected a new device via Bluetooth,Internet users aged 25 to 44 years,Bachelor's degree or higher,76.4
2018,Connected a new device via Bluetooth,Internet users aged 45 to 64 years,"Total, highest certificate, diploma or degree completed",52.3
2018,Connected a new device via Bluetooth,Internet users aged 45 to 64 years,High school or less,41.2
2018,Connected a new device via Bluetooth,Internet users aged 45 to 64 years,"College, trade school or some university",53.0
2018,Connected a new device via Bluetooth,Internet users aged 45 to 64 years,Bachelor's degree or higher,60.2
2018,Connected a new device via Bluetooth,Internet users aged 65 years and over,"Total, highest certificate, diploma or degree completed",25.8
2018,Connected a new device via Bluetooth,Internet users aged 65 years and over,High school or less,18.5
2018,Connected a new device via Bluetooth,Internet users aged 65 years and over,"College, trade school or some university",27.1
2018,Connected a new device via Bluetooth,Internet users aged 65 years and over,Bachelor's degree or higher,32.4
