Year,Type of institution attended,Geography,Age group,GeoCode,Value
2016/2017,Total participation rate,Manitoba,30 to 34 years,46,8
2016/2017,College,Manitoba,30 to 34 years,46,2
2016/2017,University,Manitoba,30 to 34 years,46,5
2016/2017,Total participation rate,Saskatchewan,30 to 34 years,47,5
2016/2017,College,Saskatchewan,30 to 34 years,47,2
2016/2017,University,Saskatchewan,30 to 34 years,47,3
2016/2017,Total participation rate,Alberta,30 to 34 years,48,5
2016/2017,College,Alberta,30 to 34 years,48,2
2016/2017,University,Alberta,30 to 34 years,48,3
2016/2017,Total participation rate,British Columbia,30 to 34 years,59,6
2016/2017,College,British Columbia,30 to 34 years,59,2
2016/2017,University,British Columbia,30 to 34 years,59,4
2017/2018,Total participation rate,Canada,30 to 34 years,,6
2017/2018,Elementary and/or High School,Canada,30 to 34 years,,0
2017/2018,College,Canada,30 to 34 years,,2
2017/2018,University,Canada,30 to 34 years,,3
2017/2018,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,6
2017/2018,University,Newfoundland and Labrador,30 to 34 years,10,4
2017/2018,Total participation rate,Prince Edward Island,30 to 34 years,11,6
2017/2018,University,Prince Edward Island,30 to 34 years,11,5
2017/2018,Total participation rate,Nova Scotia,30 to 34 years,12,6
2017/2018,College,Nova Scotia,30 to 34 years,12,2
2017/2018,University,Nova Scotia,30 to 34 years,12,4
2017/2018,Total participation rate,New Brunswick,30 to 34 years,13,4
2017/2018,College,New Brunswick,30 to 34 years,13,2
2017/2018,University,New Brunswick,30 to 34 years,13,2
2017/2018,Total participation rate,Quebec,30 to 34 years,24,8
2017/2018,Elementary and/or High School,Quebec,30 to 34 years,24,1
2017/2018,College,Quebec,30 to 34 years,24,2
2017/2018,University,Quebec,30 to 34 years,24,6
2017/2018,Total participation rate,Ontario,30 to 34 years,35,5
2017/2018,Elementary and/or High School,Ontario,30 to 34 years,35,0
2017/2018,College,Ontario,30 to 34 years,35,2
2017/2018,University,Ontario,30 to 34 years,35,2
2017/2018,Total participation rate,Manitoba,30 to 34 years,46,5
2017/2018,College,Manitoba,30 to 34 years,46,2
2017/2018,University,Manitoba,30 to 34 years,46,3
2017/2018,Total participation rate,Saskatchewan,30 to 34 years,47,5
2017/2018,College,Saskatchewan,30 to 34 years,47,1
2017/2018,University,Saskatchewan,30 to 34 years,47,3
2017/2018,Total participation rate,Alberta,30 to 34 years,48,6
2017/2018,College,Alberta,30 to 34 years,48,2
2017/2018,University,Alberta,30 to 34 years,48,3
2017/2018,Total participation rate,British Columbia,30 to 34 years,59,6
2017/2018,College,British Columbia,30 to 34 years,59,3
2017/2018,University,British Columbia,30 to 34 years,59,3
2018/2019,Total participation rate,Canada,30 to 34 years,,6
2018/2019,Elementary and/or High School,Canada,30 to 34 years,,0
2018/2019,College,Canada,30 to 34 years,,2
2018/2019,University,Canada,30 to 34 years,,4
2018/2019,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,8
2018/2019,College,Newfoundland and Labrador,30 to 34 years,10,2
2018/2019,University,Newfoundland and Labrador,30 to 34 years,10,6
2018/2019,Total participation rate,Prince Edward Island,30 to 34 years,11,4
2018/2019,University,Prince Edward Island,30 to 34 years,11,3
2018/2019,Total participation rate,Nova Scotia,30 to 34 years,12,7
2018/2019,College,Nova Scotia,30 to 34 years,12,2
2018/2019,University,Nova Scotia,30 to 34 years,12,5
2018/2019,Total participation rate,New Brunswick,30 to 34 years,13,4
2018/2019,University,New Brunswick,30 to 34 years,13,3
2018/2019,Total participation rate,Quebec,30 to 34 years,24,9
2018/2019,Elementary and/or High School,Quebec,30 to 34 years,24,0
2018/2019,College,Quebec,30 to 34 years,24,2
2018/2019,University,Quebec,30 to 34 years,24,6
2018/2019,Total participation rate,Ontario,30 to 34 years,35,5
2018/2019,Elementary and/or High School,Ontario,30 to 34 years,35,0
2018/2019,College,Ontario,30 to 34 years,35,2
2018/2019,University,Ontario,30 to 34 years,35,3
2018/2019,Total participation rate,Manitoba,30 to 34 years,46,6
2018/2019,College,Manitoba,30 to 34 years,46,2
2018/2019,University,Manitoba,30 to 34 years,46,4
2018/2019,Total participation rate,Saskatchewan,30 to 34 years,47,6
2018/2019,College,Saskatchewan,30 to 34 years,47,2
2018/2019,University,Saskatchewan,30 to 34 years,47,4
2018/2019,Total participation rate,Alberta,30 to 34 years,48,5
2018/2019,College,Alberta,30 to 34 years,48,2
2018/2019,University,Alberta,30 to 34 years,48,3
2018/2019,Total participation rate,British Columbia,30 to 34 years,59,6
2018/2019,College,British Columbia,30 to 34 years,59,3
2018/2019,University,British Columbia,30 to 34 years,59,4
2018/2019,Total participation rate,Northwest Territories,30 to 34 years,61,5
2019/2020,Total participation rate,Canada,30 to 34 years,,6
2019/2020,Elementary and/or High School,Canada,30 to 34 years,,0
2019/2020,College,Canada,30 to 34 years,,2
2019/2020,University,Canada,30 to 34 years,,4
2019/2020,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,8
2019/2020,College,Newfoundland and Labrador,30 to 34 years,10,2
2019/2020,University,Newfoundland and Labrador,30 to 34 years,10,6
2019/2020,Total participation rate,Prince Edward Island,30 to 34 years,11,6
2019/2020,College,Prince Edward Island,30 to 34 years,11,3
2019/2020,University,Prince Edward Island,30 to 34 years,11,4
2019/2020,Total participation rate,Nova Scotia,30 to 34 years,12,4
2019/2020,College,Nova Scotia,30 to 34 years,12,1
2019/2020,University,Nova Scotia,30 to 34 years,12,3
2019/2020,Total participation rate,New Brunswick,30 to 34 years,13,5
2019/2020,College,New Brunswick,30 to 34 years,13,2
2019/2020,University,New Brunswick,30 to 34 years,13,3
2019/2020,Total participation rate,Quebec,30 to 34 years,24,7
2019/2020,Elementary and/or High School,Quebec,30 to 34 years,24,0
2019/2020,College,Quebec,30 to 34 years,24,2
2019/2020,University,Quebec,30 to 34 years,24,5
2019/2020,Total participation rate,Ontario,30 to 34 years,35,5
2019/2020,Elementary and/or High School,Ontario,30 to 34 years,35,0
2019/2020,College,Ontario,30 to 34 years,35,2
2019/2020,University,Ontario,30 to 34 years,35,3
2019/2020,Total participation rate,Manitoba,30 to 34 years,46,6
2019/2020,College,Manitoba,30 to 34 years,46,1
2019/2020,University,Manitoba,30 to 34 years,46,4
2019/2020,Total participation rate,Saskatchewan,30 to 34 years,47,6
2019/2020,College,Saskatchewan,30 to 34 years,47,2
2019/2020,University,Saskatchewan,30 to 34 years,47,4
2019/2020,Total participation rate,Alberta,30 to 34 years,48,6
2019/2020,College,Alberta,30 to 34 years,48,1
2019/2020,University,Alberta,30 to 34 years,48,4
2019/2020,Total participation rate,British Columbia,30 to 34 years,59,6
2019/2020,College,British Columbia,30 to 34 years,59,2
2019/2020,University,British Columbia,30 to 34 years,59,4
2020/2021,Total participation rate,Canada,30 to 34 years,,6
2020/2021,Elementary and/or High School,Canada,30 to 34 years,,0
2020/2021,College,Canada,30 to 34 years,,2
2020/2021,University,Canada,30 to 34 years,,4
2020/2021,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,7
2020/2021,College,Newfoundland and Labrador,30 to 34 years,10,2
2020/2021,University,Newfoundland and Labrador,30 to 34 years,10,5
2020/2021,Total participation rate,Prince Edward Island,30 to 34 years,11,6
2020/2021,College,Prince Edward Island,30 to 34 years,11,3
2020/2021,University,Prince Edward Island,30 to 34 years,11,3
2020/2021,Total participation rate,Nova Scotia,30 to 34 years,12,5
2020/2021,College,Nova Scotia,30 to 34 years,12,2
2020/2021,University,Nova Scotia,30 to 34 years,12,3
2020/2021,Total participation rate,New Brunswick,30 to 34 years,13,5
2020/2021,College,New Brunswick,30 to 34 years,13,2
2020/2021,University,New Brunswick,30 to 34 years,13,3
2020/2021,Total participation rate,Quebec,30 to 34 years,24,10
2020/2021,Elementary and/or High School,Quebec,30 to 34 years,24,1
2020/2021,College,Quebec,30 to 34 years,24,2
2020/2021,University,Quebec,30 to 34 years,24,7
2020/2021,Total participation rate,Ontario,30 to 34 years,35,5
2020/2021,Elementary and/or High School,Ontario,30 to 34 years,35,0
2020/2021,College,Ontario,30 to 34 years,35,2
2020/2021,University,Ontario,30 to 34 years,35,3
2020/2021,Total participation rate,Manitoba,30 to 34 years,46,5
2020/2021,College,Manitoba,30 to 34 years,46,2
2020/2021,University,Manitoba,30 to 34 years,46,3
2020/2021,Total participation rate,Saskatchewan,30 to 34 years,47,4
2020/2021,College,Saskatchewan,30 to 34 years,47,1
2020/2021,University,Saskatchewan,30 to 34 years,47,3
2020/2021,Total participation rate,Alberta,30 to 34 years,48,5
2020/2021,College,Alberta,30 to 34 years,48,2
2020/2021,University,Alberta,30 to 34 years,48,3
2020/2021,Total participation rate,British Columbia,30 to 34 years,59,6
2020/2021,College,British Columbia,30 to 34 years,59,2
2020/2021,University,British Columbia,30 to 34 years,59,3
2020/2021,Total participation rate,Yukon,30 to 34 years,60,7
2020/2021,University,Yukon,30 to 34 years,60,7
2021/2022,Total participation rate,Canada,30 to 34 years,,6
2021/2022,Elementary and/or High School,Canada,30 to 34 years,,0
2021/2022,College,Canada,30 to 34 years,,2
2021/2022,University,Canada,30 to 34 years,,4
2021/2022,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,7
2021/2022,University,Newfoundland and Labrador,30 to 34 years,10,5
2021/2022,Total participation rate,Prince Edward Island,30 to 34 years,11,6
2021/2022,College,Prince Edward Island,30 to 34 years,11,3
2021/2022,University,Prince Edward Island,30 to 34 years,11,3
2021/2022,Total participation rate,Nova Scotia,30 to 34 years,12,6
2021/2022,College,Nova Scotia,30 to 34 years,12,2
2021/2022,University,Nova Scotia,30 to 34 years,12,4
2021/2022,Total participation rate,New Brunswick,30 to 34 years,13,6
2021/2022,College,New Brunswick,30 to 34 years,13,2
2021/2022,University,New Brunswick,30 to 34 years,13,3
2021/2022,Total participation rate,Quebec,30 to 34 years,24,9
2021/2022,College,Quebec,30 to 34 years,24,2
2021/2022,University,Quebec,30 to 34 years,24,6
2021/2022,Total participation rate,Ontario,30 to 34 years,35,5
2021/2022,College,Ontario,30 to 34 years,35,2
2021/2022,University,Ontario,30 to 34 years,35,3
2021/2022,Total participation rate,Manitoba,30 to 34 years,46,7
2021/2022,College,Manitoba,30 to 34 years,46,2
2021/2022,University,Manitoba,30 to 34 years,46,5
2021/2022,Total participation rate,Saskatchewan,30 to 34 years,47,5
2021/2022,College,Saskatchewan,30 to 34 years,47,2
2021/2022,University,Saskatchewan,30 to 34 years,47,4
2021/2022,Total participation rate,Alberta,30 to 34 years,48,5
2021/2022,College,Alberta,30 to 34 years,48,2
2021/2022,University,Alberta,30 to 34 years,48,3
2021/2022,Total participation rate,British Columbia,30 to 34 years,59,5
2021/2022,College,British Columbia,30 to 34 years,59,2
2021/2022,University,British Columbia,30 to 34 years,59,3
2021/2022,Total participation rate,Yukon,30 to 34 years,60,10
2021/2022,University,Yukon,30 to 34 years,60,10
2022/2023,Total participation rate,Canada,30 to 34 years,,6
2022/2023,Elementary and/or High School,Canada,30 to 34 years,,0
2022/2023,College,Canada,30 to 34 years,,2
2022/2023,University,Canada,30 to 34 years,,3
2022/2023,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,6
2022/2023,College,Newfoundland and Labrador,30 to 34 years,10,2
2022/2023,University,Newfoundland and Labrador,30 to 34 years,10,4
2022/2023,Total participation rate,Prince Edward Island,30 to 34 years,11,6
2022/2023,College,Prince Edward Island,30 to 34 years,11,2
2022/2023,University,Prince Edward Island,30 to 34 years,11,4
2022/2023,Total participation rate,Nova Scotia,30 to 34 years,12,6
2022/2023,College,Nova Scotia,30 to 34 years,12,2
2022/2023,University,Nova Scotia,30 to 34 years,12,4
2022/2023,Total participation rate,New Brunswick,30 to 34 years,13,4
2022/2023,College,New Brunswick,30 to 34 years,13,2
2022/2023,University,New Brunswick,30 to 34 years,13,2
2022/2023,Total participation rate,Quebec,30 to 34 years,24,8
2022/2023,Elementary and/or High School,Quebec,30 to 34 years,24,1
2022/2023,College,Quebec,30 to 34 years,24,2
2022/2023,University,Quebec,30 to 34 years,24,6
2022/2023,Total participation rate,Ontario,30 to 34 years,35,5
2022/2023,College,Ontario,30 to 34 years,35,3
2022/2023,University,Ontario,30 to 34 years,35,3
2022/2023,Total participation rate,Manitoba,30 to 34 years,46,6
2022/2023,College,Manitoba,30 to 34 years,46,2
2022/2023,University,Manitoba,30 to 34 years,46,4
2022/2023,Total participation rate,Saskatchewan,30 to 34 years,47,5
2022/2023,College,Saskatchewan,30 to 34 years,47,1
2022/2023,University,Saskatchewan,30 to 34 years,47,3
2022/2023,Total participation rate,Alberta,30 to 34 years,48,5
2022/2023,College,Alberta,30 to 34 years,48,2
2022/2023,University,Alberta,30 to 34 years,48,2
2022/2023,Total participation rate,British Columbia,30 to 34 years,59,5
2022/2023,College,British Columbia,30 to 34 years,59,2
2022/2023,University,British Columbia,30 to 34 years,59,3
2023/2024,Total participation rate,Canada,30 to 34 years,,6
2023/2024,Elementary and/or High School,Canada,30 to 34 years,,0
2023/2024,College,Canada,30 to 34 years,,2
2023/2024,University,Canada,30 to 34 years,,4
2023/2024,Total participation rate,Newfoundland and Labrador,30 to 34 years,10,7
2023/2024,University,Newfoundland and Labrador,30 to 34 years,10,5
2023/2024,Total participation rate,Prince Edward Island,30 to 34 years,11,4
2023/2024,University,Prince Edward Island,30 to 34 years,11,2
2023/2024,Total participation rate,Nova Scotia,30 to 34 years,12,8
2023/2024,College,Nova Scotia,30 to 34 years,12,2
2023/2024,University,Nova Scotia,30 to 34 years,12,6
2023/2024,Total participation rate,New Brunswick,30 to 34 years,13,5
2023/2024,College,New Brunswick,30 to 34 years,13,2
2023/2024,University,New Brunswick,30 to 34 years,13,3
2023/2024,Total participation rate,Quebec,30 to 34 years,24,7
2023/2024,Elementary and/or High School,Quebec,30 to 34 years,24,0
2023/2024,College,Quebec,30 to 34 years,24,2
2023/2024,University,Quebec,30 to 34 years,24,5
2023/2024,Total participation rate,Ontario,30 to 34 years,35,6
2023/2024,Elementary and/or High School,Ontario,30 to 34 years,35,0
2023/2024,College,Ontario,30 to 34 years,35,2
2023/2024,University,Ontario,30 to 34 years,35,3
2023/2024,Total participation rate,Manitoba,30 to 34 years,46,7
2023/2024,College,Manitoba,30 to 34 years,46,3
2023/2024,University,Manitoba,30 to 34 years,46,4
2023/2024,Total participation rate,Saskatchewan,30 to 34 years,47,6
2023/2024,College,Saskatchewan,30 to 34 years,47,1
2023/2024,University,Saskatchewan,30 to 34 years,47,4
2023/2024,Total participation rate,Alberta,30 to 34 years,48,6
2023/2024,College,Alberta,30 to 34 years,48,2
2023/2024,University,Alberta,30 to 34 years,48,4
2023/2024,Total participation rate,British Columbia,30 to 34 years,59,6
2023/2024,College,British Columbia,30 to 34 years,59,2
2023/2024,University,British Columbia,30 to 34 years,59,3
