Year,Type of institution attended,Geography,Age group,GeoCode,Value
2016/2017,Total participation rate,Newfoundland and Labrador,15 to 19 years,10,84
2016/2017,Elementary/High School,Newfoundland and Labrador,15 to 19 years,10,61
2016/2017,College,Newfoundland and Labrador,15 to 19 years,10,8
2016/2017,University,Newfoundland and Labrador,15 to 19 years,10,15
2016/2017,Total participation rate,Newfoundland and Labrador,20 to 24 years,10,35
2016/2017,College,Newfoundland and Labrador,20 to 24 years,10,12
2016/2017,University,Newfoundland and Labrador,20 to 24 years,10,23
2016/2017,Total participation rate,Newfoundland and Labrador,25 to 29 years,10,11
2016/2017,College,Newfoundland and Labrador,25 to 29 years,10,4
2016/2017,University,Newfoundland and Labrador,25 to 29 years,10,7
2016/2017,Total participation rate,Prince Edward Island,15 to 19 years,11,83
2016/2017,Elementary/High School,Prince Edward Island,15 to 19 years,11,62
2016/2017,College,Prince Edward Island,15 to 19 years,11,7
2016/2017,University,Prince Edward Island,15 to 19 years,11,14
2016/2017,Total participation rate,Prince Edward Island,20 to 24 years,11,37
2016/2017,College,Prince Edward Island,20 to 24 years,11,9
2016/2017,University,Prince Edward Island,20 to 24 years,11,28
2016/2017,Total participation rate,Prince Edward Island,25 to 29 years,11,9
2016/2017,College,Prince Edward Island,25 to 29 years,11,4
2016/2017,University,Prince Edward Island,25 to 29 years,11,5
2016/2017,Total participation rate,Nova Scotia,15 to 19 years,12,85
2016/2017,Elementary/High School,Nova Scotia,15 to 19 years,12,62
2016/2017,College,Nova Scotia,15 to 19 years,12,6
2016/2017,University,Nova Scotia,15 to 19 years,12,17
2016/2017,Total participation rate,Nova Scotia,20 to 24 years,12,37
2016/2017,Elementary/High School,Nova Scotia,20 to 24 years,12,1
2016/2017,College,Nova Scotia,20 to 24 years,12,8
2016/2017,University,Nova Scotia,20 to 24 years,12,28
2016/2017,Total participation rate,Nova Scotia,25 to 29 years,12,11
2016/2017,College,Nova Scotia,25 to 29 years,12,3
2016/2017,University,Nova Scotia,25 to 29 years,12,8
2016/2017,Total participation rate,New Brunswick,15 to 19 years,13,83
2016/2017,Elementary/High School,New Brunswick,15 to 19 years,13,62
2016/2017,College,New Brunswick,15 to 19 years,13,7
2016/2017,University,New Brunswick,15 to 19 years,13,13
2016/2017,Total participation rate,New Brunswick,20 to 24 years,13,30
2016/2017,College,New Brunswick,20 to 24 years,13,8
2016/2017,University,New Brunswick,20 to 24 years,13,22
2016/2017,Total participation rate,New Brunswick,25 to 29 years,13,8
2016/2017,College,New Brunswick,25 to 29 years,13,3
2016/2017,University,New Brunswick,25 to 29 years,13,5
2016/2017,Total participation rate,Quebec,15 to 19 years,24,85
2016/2017,Elementary/High School,Quebec,15 to 19 years,24,48
2016/2017,College,Quebec,15 to 19 years,24,33
2016/2017,University,Quebec,15 to 19 years,24,4
2016/2017,Total participation rate,Quebec,20 to 24 years,24,48
2016/2017,Elementary/High School,Quebec,20 to 24 years,24,3
2016/2017,College,Quebec,20 to 24 years,24,14
2016/2017,University,Quebec,20 to 24 years,24,31
2016/2017,Total participation rate,Quebec,25 to 29 years,24,15
2016/2017,Elementary/High School,Quebec,25 to 29 years,24,1
2016/2017,College,Quebec,25 to 29 years,24,3
2016/2017,University,Quebec,25 to 29 years,24,11
2016/2017,Total participation rate,Ontario,15 to 19 years,35,88
2016/2017,Elementary/High School,Ontario,15 to 19 years,35,62
2016/2017,College,Ontario,15 to 19 years,35,9
2016/2017,University,Ontario,15 to 19 years,35,17
2016/2017,Total participation rate,Ontario,20 to 24 years,35,43
2016/2017,Elementary/High School,Ontario,20 to 24 years,35,1
2016/2017,College,Ontario,20 to 24 years,35,13
2016/2017,University,Ontario,20 to 24 years,35,28
2016/2017,Total participation rate,Ontario,25 to 29 years,35,12
2016/2017,Elementary/High School,Ontario,25 to 29 years,35,0
2016/2017,College,Ontario,25 to 29 years,35,4
2016/2017,University,Ontario,25 to 29 years,35,7
2016/2017,Total participation rate,Manitoba,15 to 19 years,46,79
2016/2017,Elementary/High School,Manitoba,15 to 19 years,46,61
2016/2017,College,Manitoba,15 to 19 years,46,4
