Year,Persons in low income,Geography,GeoCode,Value
2015,"Females, under 18 years",Canada,,16.6
2016,"Females, under 18 years",Canada,,14.9
2017,"Females, under 18 years",Canada,,12.0
2018,"Females, under 18 years",Canada,,9.9
2019,"Females, under 18 years",Canada,,9.4
2020,"Females, under 18 years",Canada,,4.7
2021,"Females, under 18 years",Canada,,6.6
2022,"Females, under 18 years",Canada,,9.9
2023,"Females, under 18 years",Canada,,10.4
2015,Males,Canada,,14.1
2016,Males,Canada,,12.4
2017,Males,Canada,,11.7
2018,Males,Canada,,11.3
2019,Males,Canada,,9.9
2020,Males,Canada,,6.3
2021,Males,Canada,,7.0
2022,Males,Canada,,9.9
2023,Males,Canada,,10.1
2015,"Males, 18 to 64 years",Canada,,15.4
2016,"Males, 18 to 64 years",Canada,,13.6
2017,"Males, 18 to 64 years",Canada,,13.2
2018,"Males, 18 to 64 years",Canada,,12.8
2019,"Males, 18 to 64 years",Canada,,11.3
2020,"Males, 18 to 64 years",Canada,,7.8
2021,"Males, 18 to 64 years",Canada,,7.9
2022,"Males, 18 to 64 years",Canada,,11.0
2023,"Males, 18 to 64 years",Canada,,11.3
2015,"Males, 65 years and over",Canada,,6.1
2016,"Males, 65 years and over",Canada,,6.4
2017,"Males, 65 years and over",Canada,,5.5
2018,"Males, 65 years and over",Canada,,5.3
2019,"Males, 65 years and over",Canada,,5.1
2020,"Males, 65 years and over",Canada,,2.7
2021,"Males, 65 years and over",Canada,,4.9
2022,"Males, 65 years and over",Canada,,5.6
2023,"Males, 65 years and over",Canada,,4.9
2015,"Males, under 18 years",Canada,,15.9
2016,"Males, under 18 years",Canada,,13.0
2017,"Males, under 18 years",Canada,,11.5
2018,"Males, under 18 years",Canada,,11.2
2019,"Males, under 18 years",Canada,,9.4
2020,"Males, under 18 years",Canada,,4.7
2021,"Males, under 18 years",Canada,,6.1
2022,"Males, under 18 years",Canada,,9.9
2023,"Males, under 18 years",Canada,,10.9
2015,Persons 18 to 64 years,Canada,,15.7
2016,Persons 18 to 64 years,Canada,,14.0
2017,Persons 18 to 64 years,Canada,,13.4
2018,Persons 18 to 64 years,Canada,,12.8
2019,Persons 18 to 64 years,Canada,,11.8
2020,Persons 18 to 64 years,Canada,,7.8
2021,Persons 18 to 64 years,Canada,,8.2
2022,Persons 18 to 64 years,Canada,,11.1
2023,Persons 18 to 64 years,Canada,,11.6
2015,Persons 65 years and over,Canada,,7.1
2016,Persons 65 years and over,Canada,,7.1
2017,Persons 65 years and over,Canada,,6.1
2018,Persons 65 years and over,Canada,,6.0
2019,Persons 65 years and over,Canada,,5.7
2020,Persons 65 years and over,Canada,,3.1
2021,Persons 65 years and over,Canada,,5.6
2022,Persons 65 years and over,Canada,,6.0
2023,Persons 65 years and over,Canada,,5.0
2015,Persons under 18 years,Canada,,16.3
2016,Persons under 18 years,Canada,,13.9
2017,Persons under 18 years,Canada,,11.7
2018,Persons under 18 years,Canada,,10.6
2019,Persons under 18 years,Canada,,9.4
2020,Persons under 18 years,Canada,,4.7
2021,Persons under 18 years,Canada,,6.4
2022,Persons under 18 years,Canada,,9.9
2023,Persons under 18 years,Canada,,10.7
2015,All persons,"Edmonton, Alberta",,7.6
2016,All persons,"Edmonton, Alberta",,8.5
2017,All persons,"Edmonton, Alberta",,9.7
2018,All persons,"Edmonton, Alberta",,7.2
2019,All persons,"Edmonton, Alberta",,9.8
2020,All persons,"Edmonton, Alberta",,5.2
2021,All persons,"Edmonton, Alberta",,7.1
2022,All persons,"Edmonton, Alberta",,10.0
2023,All persons,"Edmonton, Alberta",,9.5
2015,Females,"Edmonton, Alberta",,7.9
2016,Females,"Edmonton, Alberta",,8.4
2017,Females,"Edmonton, Alberta",,11.2
2018,Females,"Edmonton, Alberta",,8.0
2019,Females,"Edmonton, Alberta",,10.0
2020,Females,"Edmonton, Alberta",,5.0
2021,Females,"Edmonton, Alberta",,7.1
2022,Females,"Edmonton, Alberta",,10.5
2023,Females,"Edmonton, Alberta",,10.0
2015,"Females, 18 to 64 years","Edmonton, Alberta",,7.0
2016,"Females, 18 to 64 years","Edmonton, Alberta",,9.7
2017,"Females, 18 to 64 years","Edmonton, Alberta",,13.1
2018,"Females, 18 to 64 years","Edmonton, Alberta",,9.4
2019,"Females, 18 to 64 years","Edmonton, Alberta",,11.4
2020,"Females, 18 to 64 years","Edmonton, Alberta",,5.8
2021,"Females, 18 to 64 years","Edmonton, Alberta",,7.1
2022,"Females, 18 to 64 years","Edmonton, Alberta",,10.8
2023,"Females, 18 to 64 years","Edmonton, Alberta",,12.2
2021,"Females, 65 years and over","Edmonton, Alberta",,5.5
2022,"Females, 65 years and over","Edmonton, Alberta",,5.7
2023,"Females, 65 years and over","Edmonton, Alberta",,3.0
2018,"Females, under 18 years","Edmonton, Alberta",,6.6
2022,"Females, under 18 years","Edmonton, Alberta",,13.1
2023,"Females, under 18 years","Edmonton, Alberta",,8.9
2015,Males,"Edmonton, Alberta",,7.4
2016,Males,"Edmonton, Alberta",,8.6
2017,Males,"Edmonton, Alberta",,8.2
2018,Males,"Edmonton, Alberta",,6.5
2019,Males,"Edmonton, Alberta",,9.5
2020,Males,"Edmonton, Alberta",,5.3
2021,Males,"Edmonton, Alberta",,7.1
2022,Males,"Edmonton, Alberta",,9.6
