Year,Occupation,Type of work,Gender,Age group,Geography,GeoCode,Value
2015,"Health occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,22.23
2015,"Health occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,30.36
2015,"Health occupations, except management",Full-time employees,Total - Gender,55 years and over,Canada,,30.97
2015,"Health occupations, except management",Full-time employees,Men+,15 years and over,Canada,,31.9
2015,"Health occupations, except management",Full-time employees,Men+,15 to 24 years,Canada,,24.42
2015,"Health occupations, except management",Full-time employees,Men+,25 to 54 years,Canada,,32.57
2015,"Health occupations, except management",Full-time employees,Men+,55 years and over,Canada,,31.22
2015,"Health occupations, except management",Full-time employees,Women+,15 years and over,Canada,,29.43
2015,"Health occupations, except management",Full-time employees,Women+,15 to 24 years,Canada,,21.82
2015,"Health occupations, except management",Full-time employees,Women+,25 to 54 years,Canada,,29.84
2015,"Health occupations, except management",Full-time employees,Women+,55 years and over,Canada,,30.92
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,15 years and over,Canada,,32.74
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,18.03
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,33.16
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Total - Gender,55 years and over,Canada,,35.37
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,15 years and over,Canada,,37.29
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,15 to 24 years,Canada,,19.68
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,25 to 54 years,Canada,,37.07
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Men+,55 years and over,Canada,,41.58
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,15 years and over,Canada,,30.37
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,15 to 24 years,Canada,,17.53
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,25 to 54 years,Canada,,31.16
2015,"Occupations in education, law and social, community and government services, except management",Full-time employees,Women+,55 years and over,Canada,,31.18
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,15 years and over,Canada,,25.5
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,15.58
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,27.02
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Total - Gender,55 years and over,Canada,,32.76
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,15 years and over,Canada,,26.44
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,15 to 24 years,Canada,,16.71
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,25 to 54 years,Canada,,27.29
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Men+,55 years and over,Canada,,33.6
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,15 years and over,Canada,,24.54
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,15 to 24 years,Canada,,14.66
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,25 to 54 years,Canada,,26.76
2015,"Occupations in art, culture, recreation and sport, except management",Full-time employees,Women+,55 years and over,Canada,,31.22
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,15 years and over,Canada,,19.15
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,13.55
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,20.3
2015,"Sales and service occupations, except management",Full-time employees,Total - Gender,55 years and over,Canada,,20.2
2015,"Sales and service occupations, except management",Full-time employees,Men+,15 years and over,Canada,,21.18
2015,"Sales and service occupations, except management",Full-time employees,Men+,15 to 24 years,Canada,,13.86
2015,"Sales and service occupations, except management",Full-time employees,Men+,25 to 54 years,Canada,,22.62
2015,"Sales and service occupations, except management",Full-time employees,Men+,55 years and over,Canada,,22.64
2015,"Sales and service occupations, except management",Full-time employees,Women+,15 years and over,Canada,,17.34
2015,"Sales and service occupations, except management",Full-time employees,Women+,15 to 24 years,Canada,,13.29
2015,"Sales and service occupations, except management",Full-time employees,Women+,25 to 54 years,Canada,,18.25
2015,"Sales and service occupations, except management",Full-time employees,Women+,55 years and over,Canada,,17.86
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,15 years and over,Canada,,25.82
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,19.26
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,26.96
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Total - Gender,55 years and over,Canada,,26.02
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,15 years and over,Canada,,26.16
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,15 to 24 years,Canada,,19.38
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,25 to 54 years,Canada,,27.32
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Men+,55 years and over,Canada,,26.48
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,15 years and over,Canada,,20.85
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,15 to 24 years,Canada,,17.03
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,25 to 54 years,Canada,,21.76
2015,"Trades, transport and equipment operators and related occupations, except management",Full-time employees,Women+,55 years and over,Canada,,19.4
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,15 years and over,Canada,,25.09
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,15 to 24 years,Canada,,17.13
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,25 to 54 years,Canada,,28.36
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Total - Gender,55 years and over,Canada,,24.18
2015,"Natural resources, agriculture and related production occupations, except management",Full-time employees,Men+,15 years and over,Canada,,26.58
