Year,Industry,Size,Value
2023,Beverages,50-249 employees,25.663012933543
2023,Textiles,50-249 employees,52.5863341938074
2023,"Wood products, excluding furniture",50-249 employees,62.2659208150145
2023,Paper and paper products,50-249 employees,44.8772369452591
2023,Printing and reproduction of recorded media,50-249 employees,49.992867631992
2023,Coke and refined petroleum products,50-249 employees,34.695615926124
2023,Rubber and plastics products,50-249 employees,56.2403056462924
2023,Other non-metallic mineral products,50-249 employees,54.1308758776251
2023,Basic metals,50-249 employees,31.6782360273271
2023,"Fabricated metal products, except machinery",50-249 employees,51.4842227080944
2023,"Computer, electronic and optical products",50-249 employees,38.4749418557591
2023,Electrical equipment,50-249 employees,53.3133373418641
2023,Machinery and equipment n.e.c.,50-249 employees,43.9284749925679
2023,"Motor vehicles, trailers and semi-trailers",50-249 employees,14.9322801770027
2023,Furniture,50-249 employees,47.9341482776517
2023,Other manufacturing,50-249 employees,39.3896877262956
2023,Total manufacturing,50-249 employees,38.9744133486411
2019,Food products,250 employees and more,49.0826186356185
2019,Beverages,250 employees and more,67.2044856851932
2019,"Wood products, excluding furniture",250 employees and more,17.592802030712
2019,Printing and reproduction of recorded media,250 employees and more,33.5551187784987
2019,Coke and refined petroleum products,250 employees and more,54.9717539009764
2019,Rubber and plastics products,250 employees and more,42.5085670878106
2019,Basic metals,250 employees and more,73.4556509421368
2019,"Fabricated metal products, except machinery",250 employees and more,31.3027228079541
2019,"Computer, electronic and optical products",250 employees and more,53.57200551825
2019,Machinery and equipment n.e.c.,250 employees and more,41.6479895285083
2019,"Motor vehicles, trailers and semi-trailers",250 employees and more,82.6673485538635
2019,Furniture,250 employees and more,39.7668116135796
2019,Other manufacturing,250 employees and more,32.2615846362512
2019,Total manufacturing,250 employees and more,50.5241605020918
2020,Food products,250 employees and more,50.7703885165796
2020,Beverages,250 employees and more,66.2316028024641
2020,"Wood products, excluding furniture",250 employees and more,15.6277691470792
2020,Coke and refined petroleum products,250 employees and more,43.899570232413
2020,Rubber and plastics products,250 employees and more,29.1886718818945
2020,Basic metals,250 employees and more,76.1046639126202
2020,"Fabricated metal products, except machinery",250 employees and more,28.779220704021
2020,"Computer, electronic and optical products",250 employees and more,44.8606268357139
2020,Machinery and equipment n.e.c.,250 employees and more,38.570059201538
2020,"Motor vehicles, trailers and semi-trailers",250 employees and more,79.162367745901
2020,Furniture,250 employees and more,31.9052101492746
2020,Other manufacturing,250 employees and more,34.5892794379243
2020,Total manufacturing,250 employees and more,45.3901392108264
2021,Food products,250 employees and more,53.4963677109892
2021,Beverages,250 employees and more,64.4781678709956
2021,"Wood products, excluding furniture",250 employees and more,20.658330955596
2021,Coke and refined petroleum products,250 employees and more,50.3058981594231
2021,Rubber and plastics products,250 employees and more,32.0784495381789
2021,"Fabricated metal products, except machinery",250 employees and more,31.3018359241319
2021,"Computer, electronic and optical products",250 employees and more,51.6269915481153
2021,Electrical equipment,250 employees and more,34.3180212669413
2021,Machinery and equipment n.e.c.,250 employees and more,41.5884630802636
2021,"Motor vehicles, trailers and semi-trailers",250 employees and more,78.1102526628658
2021,Furniture,250 employees and more,35.8764500043893
2021,Other manufacturing,250 employees and more,31.6050202184289
2021,Total manufacturing,250 employees and more,47.8997089387869
2022,Food products,250 employees and more,54.0169102110359
2022,Beverages,250 employees and more,66.4744803252216
2022,"Wood products, excluding furniture",250 employees and more,20.9891863220754
2022,Coke and refined petroleum products,250 employees and more,59.4075620442687
2022,Rubber and plastics products,250 employees and more,35.711482302735
2022,"Fabricated metal products, except machinery",250 employees and more,27.096498995641
2022,Electrical equipment,250 employees and more,31.3583376088347
2022,Machinery and equipment n.e.c.,250 employees and more,43.324733357054
2022,"Motor vehicles, trailers and semi-trailers",250 employees and more,83.0058833908766
2022,Furniture,250 employees and more,38.0555016876102
2022,Other manufacturing,250 employees and more,38.3173983608225
2022,Total manufacturing,250 employees and more,50.5986955065268
2023,Food products,250 employees and more,57.073165372002
2023,Beverages,250 employees and more,70.1337282812304
2023,"Wood products, excluding furniture",250 employees and more,25.5114231368216
2023,Coke and refined petroleum products,250 employees and more,54.949812091808
2023,Rubber and plastics products,250 employees and more,31.5360772336549
2023,"Fabricated metal products, except machinery",250 employees and more,34.2205057976981
2023,Electrical equipment,250 employees and more,36.2768925975946
2023,Machinery and equipment n.e.c.,250 employees and more,48.4514817716481
2023,"Motor vehicles, trailers and semi-trailers",250 employees and more,83.374767318736
2023,Furniture,250 employees and more,38.3045327628552
2023,Other manufacturing,250 employees and more,42.8053266633573
2023,Total manufacturing,250 employees and more,51.7710563655513
