Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Nouvelle-Écosse,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,12,0.0852327060760525
2018,Nouvelle-Écosse,Textiles,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Textiles,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Textiles,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Pneus,Toutes les sources des matières récupérées,12,14.8346485502125
2018,Nouvelle-Écosse,Pneus,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Pneus,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,12,51.5491564040945
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,12,5.463208574826
2018,Nouvelle-Écosse,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,12,46.0869872525133
2018,Nouvelle-Écosse,Toutes les matières organiques,Toutes les sources des matières récupérées,12,154.196359524027
2018,Nouvelle-Écosse,Toutes les matières organiques,Sources des matières résidentielles récupérées,12,101.026742281243
2018,Nouvelle-Écosse,Toutes les matières organiques,Sources des matières non résidentielles récupérées,12,53.1696172427843
2018,Nouvelle-Écosse,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,12,101.614016414572
2018,Nouvelle-Écosse,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,12,19.0796530820978
2018,Nouvelle-Écosse,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières organiques,Toutes les sources des matières récupérées,12,33.5026900273576
2018,Nouvelle-Écosse,Autres matières organiques,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières organiques,Sources des matières non résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Toutes les sources des matières récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Sources des matières résidentielles récupérées,12,
2018,Nouvelle-Écosse,Autres matières,Sources des matières non résidentielles récupérées,12,
2018,Nouveau-Brunswick,Toutes les matières,Toutes les sources des matières récupérées,13,212.512183694421
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Toutes les matières,Sources des matières non résidentielles récupérées,13,
