Year,Géographie,Déchets ménagers dangereux,GeoCode,Value
2011,"Edmonton, Alberta",Huiles pour moteur ou de l'antigel,,16.0
2011,"Edmonton, Alberta","Piles déchargées, excluant les batteries de voiture",,48.0
2011,"Kelowna, Colombie-Britannique",Des restes de médicaments ou des médicaments périmés,,26.0
2011,"Kelowna, Colombie-Britannique",Des objets médicaux piquants ou tranchants,,
2011,"Kelowna, Colombie-Britannique",Restes de peinture ou solvants,,30.0
2011,"Kelowna, Colombie-Britannique",Huiles pour moteur ou de l'antigel,,21.0
2011,"Kelowna, Colombie-Britannique","Piles déchargées, excluant les batteries de voiture",,36.0
2011,"Abbotsford-Mission, Colombie-Britannique",Des restes de médicaments ou des médicaments périmés,,38.0
2011,"Abbotsford-Mission, Colombie-Britannique",Des objets médicaux piquants ou tranchants,,
2011,"Abbotsford-Mission, Colombie-Britannique",Restes de peinture ou solvants,,23.0
2011,"Abbotsford-Mission, Colombie-Britannique",Huiles pour moteur ou de l'antigel,,17.0
2011,"Abbotsford-Mission, Colombie-Britannique","Piles déchargées, excluant les batteries de voiture",,34.0
2011,"Vancouver, Colombie-Britannique",Des restes de médicaments ou des médicaments périmés,,32.0
2011,"Vancouver, Colombie-Britannique",Des objets médicaux piquants ou tranchants,,6.0
2011,"Vancouver, Colombie-Britannique",Restes de peinture ou solvants,,31.0
2011,"Vancouver, Colombie-Britannique",Huiles pour moteur ou de l'antigel,,11.0
2011,"Vancouver, Colombie-Britannique","Piles déchargées, excluant les batteries de voiture",,50.0
2011,"Victoria, Colombie-Britannique",Des restes de médicaments ou des médicaments périmés,,38.0
2011,"Victoria, Colombie-Britannique",Des objets médicaux piquants ou tranchants,,
2011,"Victoria, Colombie-Britannique",Restes de peinture ou solvants,,37.0
2011,"Victoria, Colombie-Britannique",Huiles pour moteur ou de l'antigel,,19.0
2011,"Victoria, Colombie-Britannique","Piles déchargées, excluant les batteries de voiture",,52.0
2011,Non-census metropolitan areas,Des restes de médicaments ou des médicaments périmés,,35.0
2011,Non-census metropolitan areas,Des objets médicaux piquants ou tranchants,,10.0
2011,Non-census metropolitan areas,Restes de peinture ou solvants,,42.0
2011,Non-census metropolitan areas,Huiles pour moteur ou de l'antigel,,23.0
2011,Non-census metropolitan areas,"Piles déchargées, excluant les batteries de voiture",,51.0
2013,Canada,Des restes de médicaments ou des médicaments périmés,,37.0
2013,Canada,Des objets médicaux piquants ou tranchants,,9.0
2013,Canada,Restes de peinture ou solvants,,37.0
2013,Canada,Huiles pour moteur ou de l'antigel,,15.0
2013,Canada,"Piles déchargées, excluant les batteries de voiture",,54.0
2013,Canada,Pesticides,,3.0
2013,Terre-Neuve-et-Labrador,Des restes de médicaments ou des médicaments périmés,10,27.0
2013,Terre-Neuve-et-Labrador,Des objets médicaux piquants ou tranchants,10,10.0
2013,Terre-Neuve-et-Labrador,Restes de peinture ou solvants,10,40.0
2013,Terre-Neuve-et-Labrador,Huiles pour moteur ou de l'antigel,10,12.0
2013,Terre-Neuve-et-Labrador,"Piles déchargées, excluant les batteries de voiture",10,50.0
2013,Terre-Neuve-et-Labrador,Pesticides,10,
2013,Île-du-Prince-Édouard,Des restes de médicaments ou des médicaments périmés,11,44.0
2013,Île-du-Prince-Édouard,Des objets médicaux piquants ou tranchants,11,14.0
2013,Île-du-Prince-Édouard,Restes de peinture ou solvants,11,42.0
2013,Île-du-Prince-Édouard,Huiles pour moteur ou de l'antigel,11,16.0
2013,Île-du-Prince-Édouard,"Piles déchargées, excluant les batteries de voiture",11,67.0
2013,Île-du-Prince-Édouard,Pesticides,11,
2013,Nouvelle-Écosse,Des restes de médicaments ou des médicaments périmés,12,35.0
2013,Nouvelle-Écosse,Des objets médicaux piquants ou tranchants,12,12.0
2013,Nouvelle-Écosse,Restes de peinture ou solvants,12,42.0
2013,Nouvelle-Écosse,Huiles pour moteur ou de l'antigel,12,14.0
2013,Nouvelle-Écosse,"Piles déchargées, excluant les batteries de voiture",12,59.0
2013,Nouvelle-Écosse,Pesticides,12,4.0
2013,Nouveau-Brunswick,Des restes de médicaments ou des médicaments périmés,13,40.0
2013,Nouveau-Brunswick,Des objets médicaux piquants ou tranchants,13,13.0
2013,Nouveau-Brunswick,Restes de peinture ou solvants,13,42.0
2013,Nouveau-Brunswick,Huiles pour moteur ou de l'antigel,13,13.0
2013,Nouveau-Brunswick,"Piles déchargées, excluant les batteries de voiture",13,59.0
2013,Nouveau-Brunswick,Pesticides,13,3.0
2013,Québec,Des restes de médicaments ou des médicaments périmés,24,47.0
2013,Québec,Des objets médicaux piquants ou tranchants,24,9.0
2013,Québec,Restes de peinture ou solvants,24,45.0
2013,Québec,Huiles pour moteur ou de l'antigel,24,15.0
2013,Québec,"Piles déchargées, excluant les batteries de voiture",24,62.0
2013,Québec,Pesticides,24,2.0
2013,Ontario,Des restes de médicaments ou des médicaments périmés,35,35.0
2013,Ontario,Des objets médicaux piquants ou tranchants,35,10.0
2013,Ontario,Restes de peinture ou solvants,35,35.0
2013,Ontario,Huiles pour moteur ou de l'antigel,35,12.0
2013,Ontario,"Piles déchargées, excluant les batteries de voiture",35,54.0
2013,Ontario,Pesticides,35,3.0
2013,Manitoba,Des restes de médicaments ou des médicaments périmés,46,33.0
2013,Manitoba,Des objets médicaux piquants ou tranchants,46,9.0
2013,Manitoba,Restes de peinture ou solvants,46,28.0
2013,Manitoba,Huiles pour moteur ou de l'antigel,46,19.0
2013,Manitoba,"Piles déchargées, excluant les batteries de voiture",46,46.0
2013,Manitoba,Pesticides,46,3.0
2013,Saskatchewan,Des restes de médicaments ou des médicaments périmés,47,32.0
2013,Saskatchewan,Des objets médicaux piquants ou tranchants,47,6.0
2013,Saskatchewan,Restes de peinture ou solvants,47,33.0
2013,Saskatchewan,Huiles pour moteur ou de l'antigel,47,20.0
2013,Saskatchewan,"Piles déchargées, excluant les batteries de voiture",47,49.0
2013,Saskatchewan,Pesticides,47,3.0
2013,Alberta,Des restes de médicaments ou des médicaments périmés,48,32.0
2013,Alberta,Des objets médicaux piquants ou tranchants,48,8.0
2013,Alberta,Restes de peinture ou solvants,48,39.0
2013,Alberta,Huiles pour moteur ou de l'antigel,48,21.0
2013,Alberta,"Piles déchargées, excluant les batteries de voiture",48,52.0
2013,Alberta,Pesticides,48,5.0
2013,Colombie-Britannique,Des restes de médicaments ou des médicaments périmés,59,30.0
2013,Colombie-Britannique,Des objets médicaux piquants ou tranchants,59,7.0
2013,Colombie-Britannique,Restes de peinture ou solvants,59,28.0
2013,Colombie-Britannique,Huiles pour moteur ou de l'antigel,59,16.0
2013,Colombie-Britannique,"Piles déchargées, excluant les batteries de voiture",59,45.0
2013,Colombie-Britannique,Pesticides,59,3.0
2013,Total census metropolitan areas,Des restes de médicaments ou des médicaments périmés,,37.0
2013,Total census metropolitan areas,Des objets médicaux piquants ou tranchants,,9.0
2013,Total census metropolitan areas,Restes de peinture ou solvants,,36.0
2013,Total census metropolitan areas,Huiles pour moteur ou de l'antigel,,13.0
2013,Total census metropolitan areas,"Piles déchargées, excluant les batteries de voiture",,55.0
2013,Total census metropolitan areas,Pesticides,,3.0
2013,"St. John's, Terre-Neuve-et-Labrador",Des restes de médicaments ou des médicaments périmés,,29.0
2013,"St. John's, Terre-Neuve-et-Labrador",Des objets médicaux piquants ou tranchants,,
2013,"St. John's, Terre-Neuve-et-Labrador",Restes de peinture ou solvants,,54.0
2013,"St. John's, Terre-Neuve-et-Labrador",Huiles pour moteur ou de l'antigel,,14.0
