Year,Type de patrimoine,Niveau de gouvernement,Géographie,GeoCode,Value
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,116.01067
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,723.44459
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,156.17328
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,74.01331
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,225.50111
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,171.27526
2021,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1280.23091
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,110.403
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,88.66099
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,160.5201
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,164.23988
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,80.3199
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,111.0467
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,627.32446
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,132.64889
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,790.96324
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,163.59062
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,77.74515
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,224.71563
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,190.07938
2022,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Yukon,60,1389.52164
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Alberta,48,102.2518
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Colombie-Britannique,59,83.52085
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,166.72702
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,136.10652
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,76.90551
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,113.19207
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,649.04546
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,135.35437
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,810.81081
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,160.65844
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,80.5927
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,272.60336
2023,Ensemble du patrimoine culturel et naturel,Administrations publiques provinciales-territoriales et locales consolidées,Saskatchewan,47,178.61469
