Year,État matrimonial,Groupe d'âge,Géographie,GeoCode,Value
2016,Marié ou vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.59
2016,Marié ou vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,24.85
2016,Marié,15 à 19 ans,Nouveau-Brunswick,13,0.13
2016,Marié,20 à 24 ans,Nouveau-Brunswick,13,4.51
2016,Vivant en union libre,15 à 19 ans,Nouveau-Brunswick,13,2.46
2016,Vivant en union libre,20 à 24 ans,Nouveau-Brunswick,13,20.36
2016,Marié ou vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.85
2016,Marié ou vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,19.77
2016,Marié,15 à 19 ans,Terre-Neuve-et-Labrador,10,0.08
2016,Marié,20 à 24 ans,Terre-Neuve-et-Labrador,10,2.9
2016,Vivant en union libre,15 à 19 ans,Terre-Neuve-et-Labrador,10,1.73
2016,Vivant en union libre,20 à 24 ans,Terre-Neuve-et-Labrador,10,16.87
2016,Marié ou vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,2.68
2016,Marié ou vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,26.92
2016,Marié,15 à 19 ans,Territoires du Nord-Ouest,61,0.0
2016,Marié,20 à 24 ans,Territoires du Nord-Ouest,61,3.5
2016,Vivant en union libre,15 à 19 ans,Territoires du Nord-Ouest,61,2.68
2016,Vivant en union libre,20 à 24 ans,Territoires du Nord-Ouest,61,23.43
2016,Marié ou vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.92
2016,Marié ou vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,19.42
2016,Marié,15 à 19 ans,Nouvelle-Écosse,12,0.1
2016,Marié,20 à 24 ans,Nouvelle-Écosse,12,3.34
2016,Vivant en union libre,15 à 19 ans,Nouvelle-Écosse,12,1.78
2016,Vivant en union libre,20 à 24 ans,Nouvelle-Écosse,12,16.08
2016,Marié ou vivant en union libre,15 à 19 ans,Nunavut,62,11.04
2016,Marié ou vivant en union libre,20 à 24 ans,Nunavut,62,41.72
2016,Marié,15 à 19 ans,Nunavut,62,0.0
2016,Marié,20 à 24 ans,Nunavut,62,3.31
2016,Vivant en union libre,15 à 19 ans,Nunavut,62,11.04
2016,Vivant en union libre,20 à 24 ans,Nunavut,62,38.74
2016,Marié ou vivant en union libre,15 à 19 ans,Ontario,35,1.07
2016,Marié ou vivant en union libre,20 à 24 ans,Ontario,35,13.76
2016,Marié,15 à 19 ans,Ontario,35,0.18
2016,Marié,20 à 24 ans,Ontario,35,4.66
2016,Vivant en union libre,15 à 19 ans,Ontario,35,0.89
2016,Vivant en union libre,20 à 24 ans,Ontario,35,9.1
2016,Marié ou vivant en union libre,15 à 19 ans,Île-du-Prince-Édouard,11,1.78
