Year,Pays d'origine,Value
2011 to 2015,Sierra Leone,2.06030293557646
2016 to 2021,Sierra Leone,0.864766354955457
1980 to 1990,Togo,0.500152421450437
1991 to 2000,Togo,3.69633517122251
2001 to 2010,Togo,6.38643580443842
2011 to 2015,Togo,1.3049216228188
2016 to 2021,Togo,1.74578380539984
1980 to 1990,Burundi,2.23726559609033
1991 to 2000,Burundi,17.0753983918374
2001 to 2010,Burundi,32.6243246644852
2011 to 2015,Burundi,11.7206502924506
2016 to 2021,Burundi,25.754074878739
1980 to 1990,Comores,2.24917989278159
1991 to 2000,Comores,2.79801415608629
2001 to 2010,Comores,0.0
2011 to 2015,Comores,0.0
2016 to 2021,Comores,0.0
1980 to 1990,Djibouti,8.62681022829128
1991 to 2000,Djibouti,37.4532586675869
2001 to 2010,Djibouti,27.9416213555663
2011 to 2015,Djibouti,35.7605434818817
2016 to 2021,Djibouti,92.2227281354168
1980 to 1990,Érythrée,111.547527846342
1991 to 2000,Érythrée,56.4870984801412
2001 to 2010,Érythrée,121.914763776156
2011 to 2015,Érythrée,167.162474853299
2016 to 2021,Érythrée,415.112533693524
1980 to 1990,Éthiopie,8.65294001646516
1991 to 2000,Éthiopie,6.84554488304865
2001 to 2010,Éthiopie,8.27755979988892
2011 to 2015,Éthiopie,3.96163521648981
2016 to 2021,Éthiopie,4.67070530806255
1980 to 1990,Kenya,0.720750109537636
1991 to 2000,Kenya,3.01855366246011
2001 to 2010,Kenya,5.3003824700703
2011 to 2015,Kenya,2.48461998990182
2016 to 2021,Kenya,3.05331804494711
1980 to 1990,Madagascar,0.0829486658080374
1991 to 2000,Madagascar,0.0605460722915259
2001 to 2010,Madagascar,0.112697056720271
2011 to 2015,Madagascar,0.0393287177805625
2016 to 2021,Madagascar,0.0505201929548042
1980 to 1990,Malawi,0.104757433116045
1991 to 2000,Malawi,0.176741491355309
2001 to 2010,Malawi,0.202340499536876
2011 to 2015,Malawi,0.292643464215001
2016 to 2021,Malawi,0.623522781003386
1980 to 1990,Maurice,1.3773617737114
1991 to 2000,Maurice,6.16419694691435
2001 to 2010,Maurice,5.06714157476626
2011 to 2015,Maurice,2.32143250957301
2016 to 2021,Maurice,1.56293530190244
1980 to 1990,Mozambique,0.114551460582671
1991 to 2000,Mozambique,0.137895447947157
2001 to 2010,Mozambique,0.0652195180277618
2011 to 2015,Mozambique,0.0941704800217797
2016 to 2021,Mozambique,0.236534299444539
1980 to 1990,Rwanda,1.83039877474462
1991 to 2000,Rwanda,13.8769350792546
2001 to 2010,Rwanda,19.4291257712236
2011 to 2015,Rwanda,9.49220809978278
2016 to 2021,Rwanda,5.46571238822431
1980 to 1990,Seychelles,74.2861773683784
1991 to 2000,Seychelles,584.669721267659
2001 to 2010,Seychelles,0.0
2011 to 2015,Seychelles,0.0
2016 to 2021,Seychelles,0.0
1980 to 1990,Somalie,15.8104295616071
1991 to 2000,Somalie,108.551704403029
2001 to 2010,Somalie,43.6940498608618
2011 to 2015,Somalie,29.4691921498851
2016 to 2021,Somalie,29.8380701534994
1980 to 1990,Soudan du Sud,0.738760081964376
1991 to 2000,Soudan du Sud,22.3746367747044
2001 to 2010,Soudan du Sud,31.1827061942343
2011 to 2015,Soudan du Sud,2.47572963465928
2016 to 2021,Soudan du Sud,6.25778772479722
1980 to 1990,Ouganda,2.24811283022181
1991 to 2000,Ouganda,1.66662847309749
2001 to 2010,Ouganda,3.33416877929737
